,entry,title,subtitle,author,genre,mode,location,publisher,year,format,libretto,translation
1350,CONQUISTA DEL MINDANAO. Opera Tragica. — in Roma per Giacomo Dragondelli. 1674 in 12 — di Antonio Cotrone di Siracusa.,Conquista Del Mindanao,,Antonio Cotrone di Siracusa.,Opera Tragica,,Roma,Giacomo Dragondelli,1674,12,False,False
1351,"CONQUISTA DEL VELO D'ORO IN COLCO. Torneamento a Cavallo combattuto dal Sereniss. Ferdinando Maria Duca di ambedue le Baviere. — in Monaco, per Giovanni Jecklino. 1674 in 4 — di Domenico Gisberti, di Murano, di Venezia.",Conquista Del Velo D'Oro In Colco,,Domenico Gisberti,Torneamento a,,Monaco,Giovanni Jecklino,1674,4,False,False
1352,"CONQUISTA DEL VELO D'ORO. Festa Teatrale rappresentata nelle felicissime Nozze della Maestà di Eleonora Arciduchessa d'Austria, Regina di Polonia, coll'Altezza Sereniss. di Carlo Duca di Lorena, Baar, &c. l'anno 1678 — in Vienna, per Gio. Cristoforo Cosmerovio. 1678 in 8 — Poesia del Co. Niccolò Minato, Bergamasco, Poeta di S. M. Ces. — Musica di Antonio Draghi.",Conquista Del Velo D'Oro,,Niccolò Minato,Festa Teatrale,,Vienna,Cristoforo Cosmerovio,1678,8,True,False
1353,"CONRADO. Tragedia Sacra. — in Palermo, per Pietro Coppola. 1641 in 8 del P. Ortensio Scamacca, Siciliano, Gesuita.",Conrado,,,Tragedia Sacra,,Palermo,Pietro Coppola,1641,8,False,False
1354,"CONSALVO. Tragedia Sacra. in Palermo. 1633 in 12 — del P. Ortensio Scamacca, Siciliano, della Compagnia di Gesù.",Consalvo,,,Tragedia Sacra,,Palermo,,1633,12,False,False
1355,"CONSIGLI DI MENECHINO. Commedia. — in Milano, per il Malatesta. 1711 in 12, con le altre Commedie, e Rime in lingua Milanese. — di Carlo Maria Maggi, Milanese.",Consigli Di Menechino,,Carlo Maria Maggi,Commedia,,Milano,Malatesta,1711,12,False,False
1356,"CONSIGLIO DI CAIFA colla partenza di Gesù dalla Madre. — in Venezia, per Giulio Spineda. 1628 in C08 — di Maurizio Moro Veneziano, Canonico di San Giorgio in Alga.",Consiglio Di Caifa Colla Partenza Di Gesù Dalla Madre,,Maurizio Moro Veneziano,Unknown,,Venezia,Giulio Spineda,1628,,False,False
1357,"CONSIGLIO DEGLI DEI. Dramma per Musica nella Pace tra le due Corone, e nelle Nozze fra la Maestà di Luigi XIV. Re di Francia, e la Maestà Cattolica di Maria Teresa Infanta di Spagna, dedicato all'Em. e Reverendiss. Principe il Sig. Card. Mazzarino. — in Bologna, per Giovanni Recaldini. 1671 in 12 — ed in Venezia, per Angiolo Bodio, e Zaccaria Conzatti. 1676 in 12 — ivi, per Benederto Milocco 2 1676 in 12 — di Antonio Abati da Gubbio.",Consiglio Degli Dei,,Antonio Abati da Gubbio.,Dramma,,Bologna,Giovanni Recaldini,1671,12,False,False
1358,"CONSIGLIO DEGLI DEI, per la fondazione, e grandezza dell'inclita Città di Venezia, e sua Repubblica. Favola Marittima. — in Venezia, per Giambatista Ciotti. 1614 in 12 — — di Antonio Maria Consalvi.","Consiglio Degli Dei, Per La Fondazione, E Grandezza Dell'Inclita Città Di Venezia, E Sua Repubblica",,Antonio Maria Consalvi.,Favola Marittima,,Venezia,la fondazione,1614,12,False,False
1359,"CONSIGLIO VILLANESCO. Mascherata sopra tutte l'Arti. in Siena, senza Stampatore. l'anno 1583 in 8 — del Desioso della Congrega degl'Insipidi di Siena, di cui non si sa il vero nome.",Consiglio Villanesco,,,Mascherata sopra,,Siena,Unknown,1583,8,False,False
1360,"CONTADINA. Intermedi recitati nel Teatro di S. Angiolo di Venezia anno 1731. — Poesia di Andrea Belmuro, Napoletano. — Musica di Gio. Adolfo Hasse, detto il Sassone.",Contadina,,Andrea Belmuro,Intermedi recitati,,,,1731,,True,False
1361,"CONTADINA MARCHESA. Commedia (in prosa) 2 — in Benevento, senza Stampatore. 1702 in 12 — del Cav. D. Pietro Piperni, Patrizio Beneventano, Accademico Ravvivato.",Contadina Marchesa,,,Commedia,prose,Benevento,Unknown,1702,12,False,False
1362,"CONTE COPANO. Intermezzo in Musica. — in Bassano, senz'anno, e Stampatore. in 12 — d'Incerto Autore.",Conte Copano,,Unknown,Intermezzo in,,Bassano,Unknown,Unknown,12,False,False
1363,"CONTE D'ALTAMURA. Dramma recitato in Musica nel Teatro della Villa di Camigliano. — in Lucca, per Domenico Ciuffetti. 1672 in 12 — d'Incerto.",Conte D'Altamura,,Unknown,Dramma,,Lucca,Domenico Ciuffetti,1672,12,False,False
1364,CONTE DI BACHEVILLE. Oratorio. recitato in Pistoja l'anno 1696 — in Pistoja. senza Stampatore. 1696 in 4 — Poesia del Canonico Francesco Frosini. — Musica di Giambatista Bassani.,Conte Di Bacheville,,Canonico Francesco Frosini. — Musica di Giambatista Bassani.,Oratorio,,Pistoja,Unknown,1696,4,True,False
1365,"CONTE DI CUTRO. Dramma Civiin Firenze, per Vincenzo Vangelisti, 1698 in 12 — di Gio. Andrea Moniglia, Fiorentino. — Si trova a c.del Tom. III. delle Poesie dello stesso Autore.",Conte Di Cutro,,Gio. Andrea Moniglia,Dramma Civiin,,Firenze,Vincenzo Vangelisti,1698,12,False,False
1366,"CONTE DI ESSEG. Tragedia di Tommaso Cornelio tradotta in Italiano (in prosa). — in Bologna, per il Longhi, 1701 in 12 — di Vincenzo Maria Orsoni.",Conte Di Esseg,,Vincenzo Maria Orsoni.,Tragedia,prose,Italiano,Longhi,1701,12,False,True
1367,CONTE DI MODENA. Tragedia. — in Modona nella Stamperia di Paolo Gadaldino. 1582 in 4 — di Antonio Cavallerino.,Conte Di Modena,,Antonio Cavallerino.,Tragedia,,Modona,di Paolo Gadaldino,1582,4,False,False
1368,"CONTE UGOLINO. Tragedia. — in Roma, per il Salvioni, 1724 in 8 — di Gio. Leone Sempronj d'Urbino.",Conte Ugolino,,Gio. Leone Sempronj dUrbino.,Tragedia,,Roma,Salvioni,1724,8,False,False
1369,"CONTENTI. Commedia nuova (in prosa). — in Vinegia, per Gabriel Giolito de' Ferrari. 1549 in 8 e 1560 in 12 — ivi, per gli Eredi di Bartolommeo Rubini. 1586 in 12 — ivi, per Giambatista, e Gio Bernardo Sessa, 1597 in 12 — ivi, per Domenico Usso, 1628 in 12 — di Girolamo Parabosco, Bolognese.",Contenti,,Girolamo Parabosco,Commedia nuova,prose,Venezia,Eredi di Bartolommeo Rubini,1549,8,False,False
1370,"CONTENTI D'AMORE. Commedia. in Roma, per il Landini, 1639 in 12 — di Carlo Tiberii, Romano tra gli Accademici Nascosti, il Disprezzato.",Contenti D'Amore,,Carlo Tiberii,Commedia,,Roma,Landini,1639,12,False,False
1371,"CONTENZIONE DI M. COSTANZA, E DI BIAGIO CONTADINO, — in Siena. senza Stampatore, 1543 in 8 — d'Incerto Autore.",Contenzione Di M,,Unknown,Unknown,,Siena,Unknown,1543,8,False,False
1372,"CONTESA D'AMORE. Favola Pastorale, — in Venezia, per Altobello Salicato, 1601 in 8 — di Agostino Zuccolo.",Contesa D'Amore,,Agostino Zuccolo.,Unknown,,Venezia,Altobello Salicato,1601,8,False,False
1373,"CONTESA DELL'ARIA, E DELL'ACQUA. Festa a cavallo rappresentata nelle Augustiss. Nozze delle Sacre R. Maestà dell'Imper. Leopoldo, e della Infanta Margherita delle Spagne. in Vienna, per Matteo Cosmerovio. 1667 in fogl. con fig. — di Francesco Sbarra, Lucchese.","Contesa Dell'Aria, E Dell'Acqua",,Francesco Sbarra,Festa a,,Vienna,Matteo Cosmerovio,1667,,False,False
1374,"CONTESA DELLE STAGIONI. Componimento per Musica (a cinque voci) cantato nel Palazzo Apostolico la Notte del Santiss. Natale dell'anno 1698 — in Roma, nella Stamperia della Rev, Cam. Apostol. 1698 in 4 — di Carlo Capece, Romano.",Contesa Delle Stagioni,,Carlo Capece,Componimento,,Roma,la Rev,1698,4,False,False
1375,"CONTESA DE' NUMI, in celebrare l'Augustiss. nome della S. R. M. di Maria Luisa Regina delle Spagne, Screnata. — in Palermo, per Agostino Epiro. 1705 in 4 — di Giuseppe Prescimonio, Siciliano.","Contesa De' Numi, In Celebrare L'Augustiss",,Giuseppe Prescimonio,nome della,,celebrare,Agostino Epiro,1705,4,False,False
1376,"CONTESSA DI BARCELLONA. Commedia (in prosa). — in Napoli, per il Pace, 1691 in 12 — di Rafaele del Tauro.",Contessa Di Barcellona,,Rafaele del Tauro.,Commedia,prose,Napoli,Pace,1691,12,False,False
1377,"CONTESSA REGINA, ovvero, i Precipizj innalzati. Tragicommedia (in prosa). — in Napoli, a spese di Michele Lujgi Muzio, 1719 in 12 — di Giuseppe di Vito, Napolitano.","Contessa Regina,",", I Precipizj Innalzati",Giuseppe di Vito,Tragicommedia,prose,Napoli,,1719,12,False,False
1378,"CONTESSINA. Dramma rappresentato da Comici nel Teatro di S. Samuel di Venezia. — in Venezia, senza Stampatore. 1743 in 12 — del Dott. Carlo Goldoni Veneziano. — Musica del Maccari.",Contessina,,,Dramma,,Venezia,Unknown,1743,12,False,False
1379,"CONTRALESINA. Commedia (in prosa) intitolata il Pignatto Grasso contra gli affumicati Lesinanti. — in Milano, per Giacomo Maria Meda 1605 in 12 — ed in Venezia, per Felice Barezzi. 1612 in 12 — del Pastore Monopolitano.",Contralesina,,,Commedia,prose,Milano,Giacomo Maria Meda 1605 in 12 — ed in Venezia,1605,12,False,False
1380,"CONTRAPOSTI AMOROSI, ovvero, i Rotti Incanti. Commedia Pastorale (in prosa). — in Modona, per Bartolommeo Soliani. 1648 in 12 — di Grisanto, Reggiano, Pittore.","Contraposti Amorosi,",", I Rotti Incanti",,Commedia Pastorale,prose,Modona,Bartolommeo Soliani,1648,12,False,False
1381,"CONTRASTO AMOROSO. Pastorale. in Venezia, per Giacom Antonio Somasco. 1602 in 8 — di Muzio Manfredi, Bolognese, il Fermo Accademico Invaghito.",Contrasto Amoroso,,Muzio Manfredi,Pastorale,,Venezia,Giacom Antonio Somasco,1602,8,False,False
1382,"CONTRASTO DEL DANARO, E DELL'UOMO. Componimento (in ottava rima). — senza veruna sorta di nota, in 4 — d'Incerto.","Contrasto Del Danaro, E Dell'Uomo",,Unknown,Componimento,verse,,,,4,False,False
1383,CONTRASTO DE' GENJ. Commedia Morale (in prosa). — in Venezia per il Sarzina. 1640 in 12 — dell'Inquieto Accademico Incognito.,Contrasto De' Genj,,Inquieto Accademico Incognito.,Commedia Morale,prose,Venezia,Sarzina,1640,12,False,False
1384,"CONTRASTO DEGLI UOMINI, E DELLE DONNE. Componimento (in ottava rima). — senza nota veruna. in 4 — d'Incerto.","Contrasto Degli Uomini, E Delle Donne",,Unknown,Componimento,verse,,,,4,False,False
1385,CONTRIZIONE TRIONFANTE. Rappresentazione Spirituale. — in Bologna. senza Stampatore. 1644 in 12 — di Girolamo Allè.,Contrizione Trionfante,,Girolamo Allè.,Rappresentazione Spirituale,,Bologna,Unknown,1644,12,False,False
1386,"CONTRO GLI ECCESSI DELLA FORTEZZA. Componimento per Musica (a tre voci). — in Roma, per Fabrizio di Falco. 1670 in 8, con altre Poesie Drammatiche dell'Autore. — di Lodovico Casale, Romano.",Contro Gli Eccessi Della Fortezza,,Lodovico Casale,Componimento,,Roma,Fabrizio di Falco,1670,8,False,False
1387,"CONTRO IL SENSO DELLA LIBIDINE. Componimento per Musica (a tre voci). — in Roma, per Fabrizio di Falco. 1670 in 8, con altre Poesie Drammatiche dell'Autore. — di Lodovico Casale, Romano.",Contro Il Senso Della Libidine,,Lodovico Casale,Componimento,,Roma,Fabrizio di Falco,1670,8,False,False
1388,"CONVERSIONE DI SANTA CATERINA. — in Seravalle di Venezia, per Marco Claseri. 1606 in 12 — di Giambatista Isabelli.",Conversione Di Santa Caterina,,Giambatista Isabelli.,Unknown,verse,Seravalle,Marco Claseri,1606,12,False,False
1389,"CONVERSIONE DI CASSANO RE D'ARMENIA. Oratorio (a quattro voci).in Venezia, per Andrea Poletti. 1700 in 8 — di Leone Alberici, d'Orvieto.",Conversione Di Cassano Re D'Armenia,,Leone Alberici,Oratorio,verse,Venezia,Andrea Poletti,1700,8,False,False
1390,"CONVERSIONE DI SANT'AGOSTINO. Rappresentazione Sacra, — in Orvieto, per Antonio Colaldi. 1597 in 8 — di Gio. Simone Martini, di Todi.",Conversione Di Sant'Agostino,,Gio. Simone Martini,Unknown,verse,Orvieto,Antonio Colaldi,1597,8,False,False
1391,"CONVERSIONE DI SANT'AGOSTINO. Sacra Rappresentazione, — in Venezia, per Angiolo Salvadori, 1634 in 12 — di Fra Tommaso da Pesaro, dell'Ordine di Sant'Agostino.",Conversione Di Sant'Agostino,,Fra Tommaso da Pesaro,Unknown,verse,Venezia,Angiolo Salvadori,1634,12,False,False
1392,"CONVERSIONE DELLA B. MARGHERITA DA CORTONA. Oratorio consagrato all'Alt. Sereniss. di Francesco II. Duca di Modona, Reggio, &c. in Modona, per gli Soliani, 1689 in 4 — di Giambatista Giardini.",Conversione Della B,,Giambatista Giardini.,MARGHERITA DA,verse,Modona,Soliani,1689,4,False,False
1393,"CONVERSIONE DI S. ROMUALDO ABATE. Oratorio per Musica cantato nella Chiesa di San Biagio de' Padri Camaldolesi in Fabriano, con occasione di singolar solennità ad onore del Santo Patriarca, fatta celebrare dalla pietà del Reverendiss. P. D. Romualdo Felina ivi Abate. — in Bologna, per gli Eredi del Sarti, 1688 in 8 — dell'Accademico Elisio fra Concordi di Ravenna.",Conversione Di S,,Accademico Elisio fra Concordi di Ravenna.,Oratorio,verse,Fabriano,Eredi del Sarti,1688,8,False,False
1394,"CONVERSIONE DI S. CIPRIANO. — Urbino, per il Muzantino. 1627 in 8 — dello Stordito Accademico Insensato.",Conversione Di S,,o Stordito Accademico Insensato.,"— Urbino,",verse,,Muzantino,1627,8,False,False
1395,"CONVERSIONE DI GIACOMO TOLOMMEI PER MEZZO DI SANTA CATTERINA DA SIENA— Poesia Drammatica rappresentata in Siena l'anno 1601 per la Festività della medesima Santa, — in Siena, per Silvestro Marchetti. 1606 in 8 — di Annibale Lomeri, nell'Accademia de Filomati, detto il Satirico.","Conversione Di Giacomo Tolommei Per Mezzo Di Santa Catterina Da Siena— Poesia Drammatica Rappresentata In Siena L'Anno 1601 Per La Festività Della Medesima Santa, — In Siena, Per Silvestro Marchetti",,Annibale Lomeri,1606 in,verse,Siena,MEZZO DI SANTA CATTERINA DA SIENA— Poesia Drammatica rappresentata in Siena l'anno 1601 per la Festività della medesima Santa,1606,8,False,False
1396,"CONVERSIONE DELLA BEATA MARGHERITA DA CORTONA SORELLA DEL TERZO ORDINE DI S. FRANCESCO. Rappresentazione (in prosa), in Genova, per il Calenzani, 1637 in 8 — di Fr. Pier Giovanni Gottardi, cotardi, Lucchese, Min. Osserv. Riformato.",Conversione Della Beata Margherita Da Cortona Sorella Del Terzo Ordine Di S,,Fr. Pier Giovanni Gottardi,Rappresentazione,prose,Genova,Calenzani,1637,8,False,False
1397,"CONVERSIONE DI SANTA MARIA EGIZIACA. Rappresentazione (in prosa). — in Todi, per il Ciccolini. 1659 in 12 — ed in Macerata, per li Grisei, e Giuseppe Picini 1660 in 12 — del Dott. Giacinto Andrea Cicognini, Fiorentino.",Conversione Di Santa Maria Egiziaca,,,Rappresentazione,prose,Todi,Ciccolini,1659,12,False,False
1398,"CONVERSIONE DEL PECCATORE A DIO. Tragicommedia Spirituale (in prosa, e in cinque Atti). in Vinegia, per Francesco de' Franceschi, Sanese. 1591 in 8 — di Giambatista Leoni, Veneziano.",Conversione Del Peccatore A Dio,,Giambatista Leoni,Tragicommedia Spirituale,prose,Venezia,Francesco de' Franceschi,1591,8,False,False
1399,"CONVERSIONE DI SANTA CATERINA VERGINE, E MARTIRE. Atto recitabile. — in Firenze, per Bartolommeo Sermartelli 1576 in 8 — in Seravalle di Venezia, per Marco Claseri. 1605 in 12 — di Giambatista Isabelli.","Conversione Di Santa Caterina Vergine, E Martire",,Giambatista Isabelli.,Atto recitabile,verse,Firenze,Bartolommeo Sermartelli 1576 in 8 — in Seravalle di Venezia,1576,8,False,False
1400,"CONVERSIONE DI SANT'AGOSTINO. Opera Scenica (in prosa). — in Bologna, per il Longhi. 1687 in 12 — di Giuseppe Berneri, Romano.",Conversione Di Sant'Agostino,,Giuseppe Berneri,Opera Scenica,prose,Bologna,Longhi,1687,12,False,False
1401,"CONVERSIONE DEL RE DELL'INDIE. Opera Comica Spirituale (in prosa). in Bologna, per Gioseffo Longhi. senz'anno. in 12 — ed in Perugia, per li Zecchini. 1668 in 12 — del Dott. Antonio Pacinelli, Aretino.",Conversione Del Re Dell'Indie,,,Opera Comica,prose,Bologna,Gioseffo Longhi,Unknown,12,False,False
1402,"CONVERSIONE DI S. MARIA MADDALENA. Oratorio in Musica. — in Mantova, nella Stamperia Ducale di Giambatista Grana, 1695 in 8 — d'Incerto Autore.",Conversione Di S,,Unknown,Oratorio in,verse,Mantova,Ducale di Giambatista Grana,1695,8,False,False
1403,"CONVERSIONE DI S. MARIA MADDALENA. Rappresentazione. — in Firenze, per Giovanni Stefano di Carlo di Pavia, 1521 in 8 — ed ivi, per Matteo Galassi. 1570 in 4 — di Antonio di Jacopo Alamanni, Fiorentino.",Conversione Di S,,Antonio di Jacopo Alamanni,Rappresentazione,verse,Firenze,Giovanni Stefano di Carlo di Pavia,1521,8,False,False
1404,"CONVERSIONE DI S. MARIA MADDALENA, ridotta in Tragedia — in Firenze, per li Giunti, 1609 in di Riccardo Riccardi, Fiorentino.",Conversione Di S,,,,verse,Tragedia,li Giunti,1609,,False,False
1405,"CONVERSIONE DI S. MARTA MADDALENA. Rappresentazione. — in Napoli, per Domenico di Ferrante Maccarano. 1622 in 12 — di Gaspare Liviani, da Tramonte.",Conversione Di S,,Gaspare Liviani,Rappresentazione,verse,Napoli,Domenico di Ferrante Maccarano,1622,12,False,False
1406,"CONVERSIONE DI S. MARIA MADDALENA. Rappresentazione Sacra. — in Napoli, per Gio. Jacopo Carlino. 1612 in 12 — di D. Riccardo Rodiano, Canonico Lateranese.",Conversione Di S,,Riccardo Rodiano,Rappresentazione Sacra,verse,Napoli,Jacopo Carlino,1612,12,False,False
1407,"CONVERSIONE DI SANT'IGNAZIO LOJOLA. Dramma ristretto a tre soli Atti recitato dagli Scolari della Grammatica Superiore nelle Scuole de' Padri della Compagnia di Gesù l'anno 1704 — in Roma, senza Stampatore. in 4 — del P. Scipione Sgambati, Gesuita.",Conversione Di Sant'Ignazio Lojola,,,Unknown,verse,Roma,Unknown,1704,4,False,False
1408,"CONVITATO DI PIETRA. Rappresentazione (in prosa). — in Napoli per Francesco Savio. 1652 in 12 — di Onofrio Giliberto, di Solofra.",Convitato Di Pietra,,Onofrio Giliberto,Rappresentazione,prose,Napoli,Francesco Savio,1652,12,False,False
1409,"CONVITATO DI PIETRA. Opera esemplare (in prosa). — in Venezia, senza Stampatore, ed anno, in 12 — del Dott. Giacinto Andrea Cicognini Fiorentino.",Convitato Di Pietra,,,Opera esemplare,prose,Venezia,Unknown,Unknown,12,False,False
1410,"CONVITATO DI PIETRA. Opera Tragica (in prosa). — in Napoli, per Francesco Mollo, 1678 e 1684 in 12 — ad istanza di Francesco Massari. — di Andrea Perucci di Palermo, Ridotta in miglior forma, ed abbellita, e riformata sotto nome di Eurico Preudarca. — in Napoli, per Gio. Francesco Pace, 1690 in 12 —",Convitato Di Pietra,,Andrea Perucci di Palermo,Opera Tragica,prose,Napoli,Francesco Mollo,1684,12,False,False
1411,"CONVITO DI BATTUELE PER LO SPOSALIZIO DI REBECCA. Dialogo. — in Napoli, per Giuseppe Roselli. 1706 in 4 — di Gioachino Bona, e Fardella, di Palermo.",Convito Di Battuele Per Lo Sposalizio Di Rebecca,,Gioachino Bona,Dialogo,,Napoli,LO SPOSALIZIO DI REBECCA,1706,4,False,False
1412,"CONVITO. Intermedio Pastorale (a due voci) a convito di Dame, e Cavalieri, Colieri, alludendo al loro nome, agli accidenti, alle condizioni. — in Venezia, senza Stampatore, ed anno. in 12 — del Co. Pietro Paolo Bissari di Vicenza, con altre sue Opere.",Convito,,,Intermedio Pastorale,,Venezia,Unknown,Unknown,12,False,False
1413,"CORILDA, ovvero, l'Amore Trionfante della Vendetta. Dramma rappresentato nel Teatro di San Mosè di Venezia l'anno 1688 — in Venezia per Francesco Niccolini. 1688 in 12 — Poesia di Diversi. — Musica dell'Ab. Francesco Rossi, Pugliese.","Corilda,",", L'Amore Trionfante Della Vendetta",Diversi. — Musica dell'Francesco Rossi,Unknown,verse,Venezia,Francesco Niccolini,1688,12,False,False
1414,"CORINDO. Favola Pastorale recitata in Bologna l'anno 1640. di Giulio Centralba, cioè, Carlo Bentivogli Conte Bolognese, e Archidiacono di Bologna. — questa Favola fece il Prologo, gl'Intermezzi, e la Licenza Niccolò Zoppio Turchi.",Corindo,,,Favola Pastorale,,Bologna,,1640,,False,False
1415,"CORIOLANO TITO MARZIO. Tragedia (in versi sciolti). — in Bologna, per Lelio della Volpe1734 in 8 — di Gio. Pietro Cavazzoni Zanotti, Bolognese, che con una ben lunga lettera la dedica a Madamigella Caterina Edvvin gentilissima, ed ornatissima Dama Inglese.",Coriolano Tito Marzio,,Gio. Pietro Cavazzoni Zanotti,Tragedia,verse,Bologna,Pietro Cavazzoni,1734,8,False,False
1416,"CORIOLANO. Dramma rappresentato nel Teatro Ducale di Piacenza l'anno 1669 all'Alt. Sereniss. di Ranuccio II. Farnese, e di Maria Principessa di Este, Duchi di Parma, Piacenza, &c. per celebrare la Nascita dal Principe Odoardo. — in Piacenza, nella Stamperia Ducale di Gio. Bazacchi. 1669 in 8 — Poesia di D. Cristoforo Ivanovich, Dalmatino, Canonico di S. Marco di Venezia. — Musica di D. Francesco Cavalli, Veneziano, Maestro della Ducale Cappella di San Marco di Venezia.",Coriolano,,Cristoforo Ivanovich,Dramma,,Piacenza,celebrare la Nascita dal Principe Odoardo,1669,8,True,False
1417,"CORNACCHIONE. Commedia (in prosa). — in Bologna, per il Giaccarelli, 1554 in 8 — di M. Pietro Martire Scardona.",Cornacchione,,M. Pietro Martire Scardona.,Commedia,prose,Bologna,Giaccarelli,1554,8,False,False
1418,"CORO. Tragicommedia, — in Roma, per Antonio de Rossi. 1722. in, 8 — dell'Ab. Giovanni Biavi.",Coro,,Giovanni Biavi.,Unknown,,Roma,Antonio de Rossi,1722,,False,False
1419,"CORONA D'ADONE. Dramma Eroico. in Viterbo, presso il Diotallevi 1633 in 8 — di Giulio Antonio Ridolfi.",Corona D'Adone,,Giulio Antonio Ridolfi.,Dramma Eroico,,Viterbo,Diotallevi 1633 in 8 — di Giulio Antonio Ridolfi,1633,8,False,False
1420,"CORONAZIONE D'APOLLO PER DAFNE CONVERSA IN LAURO. Intermezzi in Musica per l'Opera intitolata. l'Amorosa Innocenza. — in Bologna, per il Mascheroni, ed il Ferroni. 1623 in 8 — Poesia di Silvestro Branchi, Bolognese, Accademico Ravvivato, detto il Costante. — Musica di Ottaviano Vernizzi, Organista della Chiesa di S. Petronio.",Coronazione D'Apollo Per Dafne Conversa In Lauro,,Silvestro Branchi,Intermezzi in,,Bologna,Mascheroni,1623,8,True,False
1421,"CORONAZIONE DEL RE SALOMONE.(in prosa) — in Venezia, per Ambrotio Der. 1602. e 16112 in 12 — di Lodovico Bartolaja, della Mirandola.",Coronazione Del Re Salomone,,Lodovico Bartolaja,,prose,Venezia,Ambrotio Der,6112,12,False,False
1422,"CORONE VACILLANTI. Opera Tragicca in Napoli, per Cammillo Cavallo. 1688 in 8 — di Gio. Tommaso Ritondi.",Corone Vacillanti,,Gio. Tommaso Ritondi.,Opera Tragicca,,Napoli,Cammillo Cavallo,1688,8,False,False
1423,"CORRADINO. Tragedia. — in Roma, per Gio. Francesco Buagni. 1694 in 4 — di Antonio Caraccio, di Nardò.",Corradino,,Antonio Caraccio,Tragedia,,Roma,Francesco Buagni,1694,4,False,False
1424,"CORREDO. Commedia. — in Venezia, appresso Bernardo Giunti 1585 in 8 — di Giammaria Cecchi, Fiorentino.",Corredo,,Giammaria Cecchi,Commedia,,Venezia,Bernardo Giunti 1585 in 8 — di Giammaria Cecchi,1585,8,False,False
1425,"CORSARO ARIMANTE. Favola Marittima. — in Vicenza, per Lorenzo Lori, e Giacomo Cescato. 1610 in 12 — di Lodovico Aleardi, Accademico Olimpico, Vicentino.",Corsaro Arimante,,Lodovico Aleardi,Favola Marittima,,Vicenza,Lorenzo Lori,1610,12,False,False
1426,"CORTE. Dramma Morale rappresentato in Musica per Intermezzi, in Lucca nel Teatro de Borghi l'anno 1657 — in Lucca, per Giacinto Pace. 1657 in 12 — ed in Venezia, per Niccolò Pezzana, 1662 e 1668 in 12, con altre Poesie dell'Autore — di Francesco Sbarra, Lucchese.",Corte,,Francesco Sbarra,Unknown,,Lucca,Intermezzi,1657,12,False,False
1427,"CORTE NELLE SELVE. Trattenimenti modesti, ed utili, distinti in più veglie per gli ultimi giorni di Carnevale, con li discorsi di Tornino d'Amistraco, ed osseryazioni di lui sopra la Commedia intitolata, Notte, Fato, ed Amore (in prosa) — in Roma, per il Lazzari, 1657 in 12 — di Don Tommaso d'Aversa, e Castronovo, Accademico Riacceso di Palermo, ed Anfistilo di Roma.",Corte Nelle Selve,,Tommaso d'Aversa,"Trattenimenti modesti,",prose,più,ultimi giorni di Carnevale,1657,12,False,False
1428,"CORTE NOVIZIATO DEL CHIOSTRO PER LA BEATA CATERINA DA BOLOGNA. Oratorio cantato dalle R. R. Madri Orsoline di Vienna nel giorno di Sant'Orsola nell'anno 1700 alle Sacre Cesaree, e Regie Maestà, e Sereniss. Altez. — in Vienna, per Matteo Cosmerovio, 1700 in 4 — ed in Venezia, per Marino Rossetti 1702. in 12, colle altre Poesie Drammatiche dell'Autore. — Poesia del Co. Girolamo Frigimelica Roberti, Padovano. — Musica di Carlo Badia.",Corte Noviziato Del Chiostro Per La Beata Caterina Da Bologna,,Girolamo Frigimelica Roberti,Oratorio cantato,,Vienna,LA BEATA CATERINA DA BOLOGNA,1700,4,True,False
1429,"CORTEGGIANA. Commedia (in prosa) — in Vinegia, per Francesco Marcolini. 1536 — di Pietro Aretino e senza luogo, e Stampatore, 1588. in 8, con tre altre dello stesso Autore, cioè il Marescalco, la Talanta, e lo Ippocrito.",Corteggiana,,Pietro Aretino e senza luogo,Commedia,prose,Unknown,Unknown,1536,8,False,False
1430,"CORTEGGIANA. Commedia (in prosa) — in Ronciglione, senza Stampatore. 1638 in 12 — di Ambrogio Passerotta.",Corteggiana,,Ambrogio Passerotta.,Commedia,prose,Ronciglione,Unknown,1638,12,False,False
1431,"CORTEGGIANA SCHERNITA. Commedia (in prosa) rappresentata in Roma l'anno 1642, con gl'Intermedi apparenti del medesimo Autore (in versi) — in Terni, per il Guerrieri. 1642 in 12 — di Giammaria Alessandrini di Lonzano.",Corteggiana Schernita,,Giammaria Alessandrini di Lonzano.,Commedia,prose,Roma,Guerrieri,1642,12,False,False
1432,"CORTESIA. Commedia (in prosa) — Viterbo, per Girolamo Discepolo. 1609 in 12 — di Angiolo Baldalucchi, della Pergola.",Cortesia,,Angiolo Baldalucchi,Commedia,prose,,Girolamo Discepolo,1609,12,False,False
1433,"CORTESIA DI LEONE E RUGGIERO. Commedia di Lodovico Ariosto, ridotta in Favola—scenica. in Venezia, per Giambatista Ciotti Sanese. 1600 in 12 — Poesia di Giovanni Villifranchi, Volterrano.",Cortesia Di Leone E Ruggiero,,Giovanni Villifranchi,Commedia,,Favola—scenica,Giambatista Ciotti Sanese,1600,12,False,False
